epoch,phase,loss,token_acc,seq_acc,tokens_per_sec,batches_per_sec
1,train,0.009236642535730848,nan,nan,nan,25.908039738098143
1,valid,0.0058583366921952495,nan,nan,nan,43.323031393538976
1,train,1.3087201466769838,nan,nan,nan,25.63949430495127
1,valid,4.537545652707418,nan,nan,nan,38.090823407656465
1,train,0.011108748833046434,0.9983786184515683,0.9531898248316159,8915.059541586861,26.729456706493593
1,valid,0.0032559945165747195,0.9995632959913944,0.9848333333333333,15397.757086298208,46.35291068328787
1,train,0.010161651920992975,0.9984582508617951,0.9567714254281419,7981.7411167762575,23.93114736116899
1,valid,0.0024037912366028954,0.9997399042301687,0.9909333333333333,12224.768572588137,36.80104852889794
2,train,0.004625200335418872,0.9993921431779008,0.9773222340386519,6008.205253631228,18.01402014888591
2,valid,0.0027064805904300254,0.9996660498757721,0.9917666666666667,7689.094473542384,23.14700169446288
3,train,0.004260641251737484,0.9995068419955765,0.9848619311305878,5685.360638168388,17.046055646609286
3,valid,0.0015601658897196103,0.9998972461156223,0.9966666666666667,10823.376366887904,32.58234268888423
4,train,0.005403472590288294,0.9994746489225173,0.9870108914885034,8249.232397498936,24.73314947613957
4,valid,0.0014357034810923628,0.9998900212331269,0.9965666666666667,13499.007920601802,40.636977512357966
5,train,0.006687902716960288,0.9992244342727103,0.9865439387827447,8690.60938180691,26.056502050316848
5,valid,0.0014642044696111648,0.9998908239978486,0.9962333333333333,13219.877937364117,39.79669362493663
6,train,0.005815708259044682,0.9994290274091472,0.9886464483479409,7394.456789130351,22.170330068027358
6,valid,0.0019122091159775058,0.9998129558198435,0.9927666666666667,9145.250314524534,27.530566213613284
7,train,0.0060441892685485915,0.9993917327015595,0.9888444754116396,7348.0561765839475,22.031210058965353
7,valid,0.001038761070926254,0.9999124986453345,0.9966,13141.911356436194,39.56198554753429
8,train,0.00554431420758593,0.999466849872031,0.9882479494419792,8283.902869590107,24.837099750215888
8,valid,0.0016436184933369077,0.9998522912912069,0.9942,9281.873965960984,27.9418536418254
9,train,0.006492688469433669,0.9993701533738986,0.9873433813732321,8055.910533534405,24.1535248119235
9,valid,0.0010841983610407927,0.9999333705280987,0.9974666666666666,12980.830671137974,39.07707345439084
10,train,0.005698472157448641,0.9994008804600244,0.9884630899556273,8266.035420993028,24.78352891409267
10,valid,0.0009974622254213196,0.9999333705280987,0.9974,12885.833910442945,38.791098273783746
11,train,0.006382503852237453,0.9994036951549367,0.9891182906108279,7783.1471914879885,23.335715810386485
11,valid,0.0012632654231133757,0.9999133014100562,0.9966333333333334,8263.287893678546,24.875535023657115
12,train,0.00414178446113003,0.9995829560371629,0.9896561418949479,7908.417892712916,23.71130699621807
12,valid,0.7961885534207026,0.960690217107719,0.2406,13113.699601487437,39.47705779149622
13,train,0.007406417370541777,0.999334266013767,0.9892918698888848,8646.891445856987,25.925425340080693
13,valid,0.0012206910773275921,0.9998410525851031,0.9935666666666667,13044.882931965554,39.26989431190687
14,train,0.0060571229551675005,0.9994194691743409,0.9891476279535981,8617.341089454801,25.836826383626263
14,valid,0.0009610778660195744,0.999938187116429,0.9976666666666667,12717.330692400968,38.28384162776894
15,train,0.004198684443767716,0.9995804931791147,0.9903162321072769,8651.913219351552,25.940481804548103
15,valid,0.0010837026946668479,0.9999349760575422,0.9974333333333333,12995.471049181677,39.12114637566281
16,train,0.005161747968052532,0.9994826825309127,0.9893603236886819,8089.814523037669,24.25517698994626
16,valid,0.0008889425254073861,0.9999309622339336,0.9973,13634.88165652941,41.04600741913975
17,train,0.004617517338007493,0.999544605818983,0.9897881599374136,8491.211935152507,25.458661352464873
17,valid,0.0009585609521841738,0.999932567763377,0.9974666666666666,12676.107611779358,38.15974499710811
18,train,0.004294768454527922,0.9995897582165343,0.9905924920850294,8543.382564956879,25.615081237738938
18,valid,0.002176427914845188,0.9998747687034145,0.9950333333333333,12959.588567557239,39.013126911755805
19,train,0.006982774322605035,0.999332037713628,0.9895290134096104,8395.491350016842,25.171668402572745
19,valid,0.001117074300370041,0.9998787825270231,0.9956,13043.759387061906,39.26651202861226
20,train,0.004979644291085465,0.9995274830915999,0.9900399721295243,8476.653544184166,25.415011853626506
20,valid,0.001037379610510349,0.9999269484103251,0.9972333333333333,13369.24347604876,40.246338819039046
21,train,0.006375741785637504,0.9993996490310002,0.9888395858545113,8694.65845647892,26.06864213369397
21,valid,0.0034886996491872804,0.9996540084049467,0.9875666666666667,13587.387737516308,40.90303325909324
